latitude	M_67	N_67	R_avg,67	R_G,67	M_80	N80	R_avg,80	R_G,80	
18	6341540.775	6380199.686	6360811.492	6360840.861	6341519.140	6380176.610	6360789.141	6360818.508	
19	6342210.112	6380424.151	6361259.741	6361288.437	6342188.453	6380401.067	6361237.374	6361266.067	
20	6342910.167	6380658.900	6361728.537	6361756.535	6342888.482	6380635.807	6361706.152	6361734.148	
21	6343640.104	6380903.651	6362217.315	6362244.596	6343618.391	6380880.549	6362194.911	6362222.191	
22	6344399.049	6381158.109	6362725.487	6362752.033	6344377.308	6381134.997	6362703.065	6362729.609	
23	6345186.095	6381421.966	6363252.444	6363278.237	6345164.325	6381398.845	6363230.002	6363255.794	
24	6346000.300	6381694.906	6363797.551	6363822.577	6345978.500	6381671.775	6363775.088	6363800.113	
25	6346840.690	6381976.599	6364360.151	6364384.398	6346818.859	6381953.457	6364337.668	6364361.913	
26	6347706.257	6382266.706	6364939.567	6364963.024	6347684.393	6382243.553	6364917.063	6364940.518	
27	6348595.963	6382564.876	6365535.102	6365557.761	6348574.067	6382541.711	6365512.575	6365535.232	
28	6349508.742	6382870.748	6366146.037	6366167.891	6349486.812	6382847.573	6366123.487	6366145.339	
29	6350443.496	6383183.955	6366771.635	6366792.680	6350421.532	6383160.768	6366749.062	6366770.106	
30	6351399.104	6383504.117	6367411.142	6367431.376	6351377.104	6383480.918	6367388.545	6367408.778	
31	6352374.415	6383830.847	6368063.785	6368083.208	6352352.379	6383807.636	6368041.164	6368060.585	
32	6353368.257	6384163.751	6368728.777	6368747.390	6353346.183	6384140.527	6368706.131	6368724.743	
33	6354379.431	6384502.425	6369405.313	6369423.120	6354357.320	6384479.188	6369382.641	6369400.448	
34	6355406.720	6384846.459	6370092.575	6370109.583	6355384.571	6384823.210	6370069.878	6370086.884	
35	6356448.884	6385195.437	6370789.733	6370805.947	6356426.696	6385172.175	6370767.010	6370783.223	
36	6357504.665	6385548.936	6371495.942	6371511.371	6357482.438	6385525.661	6371473.192	6371488.621	
37	6358572.787	6385906.528	6372210.346	6372225.002	6358550.520	6385883.239	6372187.569	6372202.224	
38	6359651.960	6386267.778	6372932.079	6372945.974	6359629.652	6386244.475	6372909.276	6372923.170	
39	6360740.875	6386632.248	6373660.267	6373673.414	6360718.527	6386608.932	6373637.437	6373650.583	
40	6361838.215	6386999.496	6374394.026	6374406.441	6361815.826	6386976.166	6374371.168	6374383.582	
41	6362942.650	6387369.075	6375132.465	6375144.164	6362920.219	6387345.731	6375109.580	6375121.277	
42	6364052.838	6387740.537	6375874.686	6375885.687	6364030.366	6387717.179	6375851.773	6375862.773	
43	6365167.432	6388113.429	6376619.788	6376630.109	6365144.919	6388090.058	6376596.847	6376607.168	
44	6366285.076	6388487.299	6377366.864	6377376.526	6366262.522	6388463.913	6377343.895	6377353.556	
45	6367404.412	6388861.690	6378115.004	6378124.028	6367381.816	6388838.290	6378092.008	6378101.030	
